typeStatus,catalogNumber,individualCount,preparations,taxonConceptID,scientificName,kingdom,phylum,family,waterBody,country,stateProvince,locality,maximumDepthInMeters,locationRemarks,decimal Lat,decimal Long,geodeticDatum,samplingProtocol,eventDate,eventTime,fieldNumber,fieldNotes,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23588,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aglaophamus cf. peruana,"Aglaophamus cf. peruana Hartman, 1940",Animalia,Annelida,Nephtyidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1516,MV Ocean Endeavour,-52.597606,-55.987865,WGS84,Box Corer,04/03/2011,09:17,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23589,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aglaophamus sp. 1,Aglaophamus sp.,Animalia,Annelida,Nephtyidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),not available,MV Ocean Endeavour,not available,not available,WGS84,Box Corer,not available,not available,38MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24239,1,"specimen fixed in 4  formalin, stored in 80% IMS",Amage scultpa,"Amage scultpa Ehlers, 1908",Animalia,Annelida,Ampharetidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),454,RRS Ernest Shackleton,-49.28643083,-59.0855553,WGS84,Box Corer,23/04/2012,09:57:00,22MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23527,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Ampharete sp. 1,Ampharete sp.,Animalia,Annelida,Ampharetidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Loligo oil well),1350,not available,-51.101434,-54.734829,WGS84,Box Corer,20/01/2009,22:38,L3FB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24840,1,"specimen fixed in 4  formalin, stored in 80% IMS",Amphicorina sp. 2,"Amphicorina sp. Claparède, 1864",Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),436,RRS Ernest Shackleton,-49.37637056,-59.0838878,WGS84,Box Corer,25/04/2012,16:23:00,50MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23602,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Amphicorina sp. 3,Amphicorina sp.,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.602631,-55.989055,WGS84,Box Corer,04/03/2011,18:34,1MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23603,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Amphicorina sp. 4,Amphicorina sp.,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),not available,MV Ocean Endeavour,not available,not available,WGS84,Box Corer,not available,not available,49MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23540,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Amphicorina? sp. 1,Amphicorina? sp.,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Loligo oil well),1350,not available,-51.100977,-54.734681,WGS84,Box Corer,20/01/2009,19:50,L3FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24752,1,"specimen fixed in 4  formalin, stored in 80% IMS",Amphicteis sp. 1,Amphicteis sp. ,Animalia,Annelida,Ampharetidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),434,RRS Ernest Shackleton,-49.35816111,-59.0566836,WGS84,Box Corer,14/04/2012,19:28:00,46MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21738,1,"specimen fixed in 4  formalin, stored in 80% IMS",Amphitritides sp. 1,Amphitritides sp. ,Animalia,Annelida,Ampharetidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),442,RRS Ernest Shackleton,-49.34039472,-59.0845558,WGS84,Box Corer,23/04/2012,17:55:00,40 MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
