typeStatus,catalogNumber,individualCount,preparations,taxonConceptID,scientificName,kingdom,phylum,family,waterBody,country,stateProvince,locality,maximumDepthInMeters,locationRemarks,decimal Lat,decimal Long,geodeticDatum,samplingProtocol,eventDate,eventTime,fieldNumber,fieldNotes,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24087,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aurospio foodbancsia,"Aurospio foodbancsia Mincks, Dyal, Paterson, Smith & Glover, 2009 ",Animalia,Annelida,Spionidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),454,RRS Ernest Shackleton,-49.26865722,-59.1133764,WGS84,Box Corer,16/04/2012,18:24:00,15MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21766,1,"specimen fixed in 4  formalin, stored in 80% IMS",Austrolaenilla cf. antarctica,"Austrolaenilla cf. antarctica Bergström, 1916",Animalia,Annelida,Polynoidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.25087639,-59.1411775,WGS84,Box Corer,24/04/2012,08:26:00,8MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21762,1,"specimen fixed in 4  formalin, stored in 80% IMS",Austrolaenilla sp. 1,Austrolaenilla sp.,Animalia,Annelida,Polynoidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),446,RRS Ernest Shackleton,-49.248841,-59.1867771,WGS84,Box Corer,17/03/2012,08:26:00,79MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23583,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Boguea sp. 1,Boguea sp.,Animalia,Annelida,Maldanidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.600558,-56.010486,WGS84,Box Corer,04/03/2011,14:22,4MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23584,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Boguea sp. 1,Boguea sp.,Animalia,Annelida,Maldanidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1522,MV Ocean Endeavour,-52.601500,-55.979486,WGS84,Box Corer,05/03/2011,00:17,3MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24144,1,"specimen fixed in 4  formalin, stored in 80% IMS",Brada sp. 1,Brada sp.,Animalia,Annelida,Flabelligeridae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),460,RRS Ernest Shackleton,-49.26799472,-59.0309117,WGS84,Box Corer,24/04/2012,03:48:00,18MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24401,1,"specimen fixed in 4  formalin, stored in 80% IMS",Brada sp. 1,Brada sp.,Animalia,Annelida,Flabelligeridae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),452,RRS Ernest Shackleton,-49.30419806,-59.0577142,WGS84,Box Corer,15/04/2012,13:21:00,29MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24485,1,"specimen fixed in 4  formalin, stored in 80% IMS",Brada sp. 1,Brada sp.,Animalia,Annelida,Flabelligeridae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),450,RRS Ernest Shackleton,-49.32218583,-59.0573711,WGS84,Box Corer,15/04/2012,10:54:00,35MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21726,1,"specimen fixed in 4  formalin, stored in 80% IMS",Capitella sp. 1,Capitella sp.,Animalia,Annelida,Capitellidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),456,RRS Ernest Shackleton,-49.23288806,-59.1414894,WGS84,Box Corer,24/04/2012,05:56:00,2MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23494,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Capitella sp. 2,Capitella sp.,Animalia,Annelida,Capitellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1794,MV Ocean Endeavour,-53.488653,-59.144583,WGS84,BSL Double Van Veen Grab,26/02/2011,03:09,4MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23574,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Capitella sp. 3,Capitella sp.,Animalia,Annelida,Capitellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1547,MV Ocean Endeavour,-52.614196,-55.959520,WGS84,Box Corer,04/03/2011,06:05,5MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23575,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Capitella sp. 3,Capitella sp.,Animalia,Annelida,Capitellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.600800,-56.010224,WGS84,Box Corer,04/03/2011,12:49,4MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23469,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Caulleriella sp.,Caulleriella sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin,600,not available,-53.018442,-58.046288,WGS84,Box Corer,01/02/2009,22:57,T1FB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23536,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Ceratocephale sp. 1,Ceratocephale sp.,Animalia,Annelida,Nereididae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Loligo oil well),1436,not available,-51.121553,-54.728731,WGS84,Box Corer,20/01/2009,06:54,L11FB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23590,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Ceratocephale sp. 1,Ceratocephale sp.,Animalia,Annelida,Nereididae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1516,MV Ocean Endeavour,-52.597606,-55.987865,WGS84,Box Corer,04/03/2011,09:17,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24540,1,"specimen fixed in 4  formalin, stored in 80% IMS",Ceratocephale sp. 2,Ceratocephale sp.,Animalia,Annelida,Nereididae ,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),433,RRS Ernest Shackleton,-49.34081778,-59.1396133,WGS84,Box Corer,23/04/2012,21:50:00,38MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23578,1,"specimen fixed in 4%  formalin, stored in 80% IMS",cf. Novafabricia sp. 1,cf. Novafabricia sp.,Animalia,Annelida,Fabriciidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1516,MV Ocean Endeavour,-52.597606,-55.987865,WGS84,Box Corer,04/03/2011,09:17,2MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21703,1,"specimen fixed in 4  formalin, stored in 80% IMS",Chaetozone sp. 2,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),455,RRS Ernest Shackleton,-49.25023417,-59.0587417,WGS84,Box Corer,15/04/2012,21:29:00,11MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21729,1,"specimen fixed in 4  formalin, stored in 80% IMS",Chaetozone sp. 2,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),436,RRS Ernest Shackleton,-49.34101944,-59.1671425,WGS84,Box Corer,15/04/2012,01:23:00,37MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21748,1,"specimen fixed in 4  formalin, stored in 80% IMS",Chaetozone sp. 2,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),457,RRS Ernest Shackleton,-49.23246667,-59.0865519,WGS84,Box Corer,25/04/2012,00:54:00,4MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21706,1,"specimen fixed in 4  formalin, stored in 80% IMS",Chaetozone sp. 3,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),455,RRS Ernest Shackleton,-49.26865722,-59.1133764,WGS84,Box Corer,16/04/2012,17:36:00,15MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21727,1,"specimen fixed in 4  formalin, stored in 80% IMS",Chaetozone sp. 3,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),456,RRS Ernest Shackleton,-49.23288806,-59.1414894,WGS84,Box Corer,24/04/2012,05:56:00,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21752,1,"specimen fixed in 4  formalin, stored in 80% IMS",Chaetozone sp. 6,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),457,RRS Ernest Shackleton,-49.23224611,-59.0590836,WGS84,Box Corer,16/04/2012,00:40:00,5MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.13941-13943,3,"specimen fixed in 4  formalin, stored in 80% IMS",Chaetozone sp. 8,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),450,RRS Ernest Shackleton,-49.2679625,-59.0563564,WGS84,Box Corer,15/04/2012,19:03:00,17MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21733,1,"specimen fixed in 4  formalin, stored in 80% IMS",Chaetozone sp. 8,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),464,RRS Ernest Shackleton,-49.23268056,-59.1140206,WGS84,Box Corer,16/04/2012,13:37:00,3MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23488,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Chaetozone sp. 1,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Endeavour oil well),1346,not available,-50.664720,-54.599925,WGS84,Box Corer,28/01/2009,15:33,E4FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23522,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Chaetozone sp. 1,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1782,MV Ocean Endeavour,-53.482551,-59.156921,WGS84,Box Corer,26/02/2011,07:55,2MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23546,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Chaetozone sp. 4,Chaetozone sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Loligo oil well),1350,not available,-51.100977,-54.734681,WGS84,Box Corer,20/01/2009,19:50,L3FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23523,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Cirratulus sp. 1,Cirratulus sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),not available,MV Ocean Endeavour,not available,not available,WGS84,not available,not available,not available,10MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.12432-12433,2,"specimen fixed in 4  formalin, stored in 80% IMS",Cirrophorus cf. furcatus ,"Cirrophorus cf. furcatus  (Hartman, 1957) ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.23201917,-59.0316156,WGS84,Box Corer,25/04/2012,02:35:00,6MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21741,1,"specimen fixed in 4  formalin, stored in 80% IMS",Cirrophorus cf. furcatus ,"Cirrophorus cf. furcatus  (Hartman, 1957) ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),437,RRS Ernest Shackleton,-49.34017361,-59.0570275,WGS84,Box Corer,14/04/2012,22:26:00,41MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21747,1,"specimen fixed in 4  formalin, stored in 80% IMS",Cirrophorus cf. furcatus ,"Cirrophorus cf. furcatus  (Hartman, 1957) ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),434,RRS Ernest Shackleton,-49.35838278,-59.0842219,WGS84,Box Corer,23/04/2012,20:24:00,45MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24292,1,"specimen fixed in 4  formalin, stored in 80% IMS",Cirrophorus cf. furcatus ,"Cirrophorus cf. furcatus  (Hartman, 1957) ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),453,RRS Ernest Shackleton,-49.2859825,-59.0305592,WGS84,Box Corer,25/04/2012,10:19:00,24MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24587,1,"specimen fixed in 4  formalin, stored in 80% IMS",Cirrophorus cf. furcatus ,"Cirrophorus cf. furcatus  (Hartman, 1957) ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),464,RRS Ernest Shackleton,-49.23268056,-59.1140206,WGS84,Box Corer,16/04/2012,13:37:00,3MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24722,1,"specimen fixed in 4  formalin, stored in 80% IMS",Cirrophorus cf. furcatus ,"Cirrophorus cf. furcatus  (Hartman, 1957) ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),429,RRS Ernest Shackleton,-49.3585975,-59.1117606,WGS84,Box Corer,14/04/2012,17:12:00,44MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24742,1,"specimen fixed in 4  formalin, stored in 80% IMS",Cirrophorus cf. furcatus ,"Cirrophorus cf. furcatus  (Hartman, 1957) ",Animalia,Annelida,Paraonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),434,RRS Ernest Shackleton,-49.35838278,-59.0842219,WGS84,Box Corer,23/04/2012,20:24:00,45MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23509,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Claviramus sp. 1,Claviramus sp.,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1809,MV Ocean Endeavour,-53.495223,-59.142571,WGS84,BSL Double Van Veen Grab,25/03/2011,23:48,1MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21734,1,"specimen fixed in 4  formalin, stored in 80% IMS",Clymenura sp. 1,Clymenura sp. ,Animalia,Annelida,Maldanidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),464,RRS Ernest Shackleton,-49.23268056,-59.1140206,WGS84,Box Corer,16/04/2012,13:37:00,3MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21740,1,"specimen fixed in 4  formalin, stored in 80% IMS",Clymenura sp. 1,Clymenura sp. ,Animalia,Annelida,Maldanidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),442,RRS Ernest Shackleton,-49.34039472,-59.0845558,WGS84,Box Corer,23/04/2012,17:55:00,40MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23559,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Clymenura sp. 1,Clymenura sp.,Animalia,Annelida,Maldanidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Toroa oil well),615,not available,-53.017052,-58.019089,WGS84,Box Corer,01/02/2009,15:33,T4FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21735,1,"specimen fixed in 4  formalin, stored in 80% IMS",Clymenura sp. 2,Clymenura sp. ,Animalia,Annelida,Maldanidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),464,RRS Ernest Shackleton,-49.23268056,-59.1140206,WGS84,Box Corer,16/04/2012,13:37:00,3MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21704,1,"specimen fixed in 4  formalin, stored in 80% IMS",Clymenura sp. 3,Clymenura sp. ,Animalia,Annelida,Maldanidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),455,RRS Ernest Shackleton,-49.25023417,-59.0587417,WGS84,Box Corer,15/04/2012,21:29:00,11MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.17040-17047,8,"specimen fixed in 4  formalin, stored in 80% IMS",Cossura sp. 1,Cossura sp. ,Animalia,Annelida,Cossuridae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),450,RRS Ernest Shackleton,-49.245117,-59.0544011,WGS84,Box Corer,18/03/2012,18:14:00,56MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21736,1,"specimen fixed in 4  formalin, stored in 80% IMS",Desdemona? sp. 1,Desdemona? sp. ,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),464,RRS Ernest Shackleton,-49.23268056,-59.1140206,WGS84,Box Corer,16/04/2012,13:37:00,3MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21737,1,"specimen fixed in 4  formalin, stored in 80% IMS",Dodecaceria sp. 1,Dodecaceria sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),464,RRS Ernest Shackleton,-49.23268056,-59.1140206,WGS84,Box Corer,16/04/2012,13:37:00,3MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23572,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Dodecaceria sp. 1,Dodecaceria sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Toroa oil well),610,not available,-53.028677,-58.067642,WGS84,Box Corer,02/02/2009,00:09,T5FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23552,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Dodecaceria sp. 2,Dodecaceria sp.,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Nimrod oil well),1299,not available,-51.796221,-55.329653,WGS84,Box Corer,07/02/2009,16:19,N1FB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.24553,1,"specimen fixed in 4  formalin, stored in 80% IMS",Drilonereis sp. 1,Drilonereis sp. ,Animalia,Annelida,Oenonidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),434,RRS Ernest Shackleton,-49.34081778,-59.1396133,WGS84,Box Corer,23/04/2012,22:36:00,38MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23561,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Drilonereis tenuis,"Drilonereis tenuis (Ehlers, 1901)",Animalia,Annelida,Oenonidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Toroa oil well),702,not available,-53.059381,-58.026460,WGS84,Box Corer,02/02/2009,07:20,T10FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.21681,1,"specimen fixed in 4  formalin, stored in 80% IMS",Eclysippe sp. 1,Eclysippe sp.,Animalia,Annelida,Ampharetidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),440,RRS Ernest Shackleton,-49.362666,-59.1204879,WGS84,Box Corer,25/03/2012,16:42:00,90MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23511,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Ephesiella?  sp. 1,Ephesiella?  sp.,Animalia,Annelida,Sphaerodoridae ,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1782,MV Ocean Endeavour,-53.482551,-59.156921,WGS84,Box Corer,26/02/2011,07:55,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21746,1,"specimen fixed in 4  formalin, stored in 80% IMS",Eteone cf. aurantiaca ,"Eteone cf. aurantiaca Schmarda, 1861 ",Animalia,Annelida,Phyllodocidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),429,RRS Ernest Shackleton,-49.3585975,-59.1117606,WGS84,Box Corer,14/04/2012,17:12:00,44MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23625,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Euchone sp. 1,Euchone sp.,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1516,MV Ocean Endeavour,-52.597606,-55.987865,WGS84,Box Corer,04/03/2011,09:17,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23604,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Euchone sp. 3,Euchone sp.,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1547,MV Ocean Endeavour,-52.614196,-55.959520,WGS84,Box Corer,04/03/2011,06:05,5MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23605,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Euchone sp. 4,Euchone sp.,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.602631,-55.989055,WGS84,Box Corer,04/03/2011,18:34,1MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.12574-12575,2,"specimen fixed in 4  formalin, stored in 80% IMS",Euchone undulocincta ,"Euchone undulocincta  Hartmann-Schröder & Rosenfeldt, 1989",Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),446,RRS Ernest Shackleton,-49.248841,-59.1867771,WGS84,Box Corer,17/03/2012,08:26:00,79MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.21652,1,"specimen fixed in 4  formalin, stored in 80% IMS",Euchone undulocincta ,"Euchone undulocincta  Hartmann-Schröder & Rosenfeldt, 1989",Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.25087639,-59.1411775,WGS84,Box Corer,24/04/2012,08:26:00,8MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23541,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Euchone sp. 2,Euchone sp.,Animalia,Annelida,Sabellidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Loligo oil well),1350,not available,-51.100977,-54.734681,WGS84,Box Corer,20/01/2009,19:50,L3FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23481,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Euclymeninae sp. 2,Euclymeninae sp.,Animalia,Annelida,Maldanidae ,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Endeavour oil well),1346,not available,-50.664720,-54.599925,WGS84,Box Corer,28/01/2009,15:33,E4FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21758,1,"specimen fixed in 4  formalin, stored in 80% IMS",Eucranta mollis,"Eucranta mollis (McIntosh, 1876)",Animalia,Annelida,Polynoidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.23201917,-59.0316156,WGS84,Box Corer,25/04/2012,02:04:00,6MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23524,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Eunice cf. pennata,"Eunice cf. pennata (Müller, 1776) ",Animalia,Annelida,Eunicidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1782,MV Ocean Endeavour,-53.482551,-59.156921,WGS84,Box Corer,26/02/2011,07:55,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23525,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Eunice cf. pennata,"Eunice cf. pennata (Müller, 1776) ",Animalia,Annelida,Eunicidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1842,MV Ocean Endeavour,-53.516123,-59.122255,WGS84,Box Corer,27/03/2011,15:02,5MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23547,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Eunice cf. pennata,"Eunice cf. pennata (Müller, 1776) ",Animalia,Annelida,Eunicidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Loligo oil well),1321,MV Ocean Endeavour,-51.012546,-54.841704,WGS84,Box Corer,14/05/2011,22:49,1MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21723,1,"specimen fixed in 4  formalin, stored in 80% IMS",Euphionella patagonica,"Euphionella patagonica Monro, 1936 ",Animalia,Annelida,Polynoidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),453,RRS Ernest Shackleton,-49.2859825,-59.0305592,WGS84,Box Corer,25/04/2012,10:19:00,24MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
